sensor,timestamp,moisture,below_30,day_of_week,hour_of_day,month,year,time_of_day
sensor1,2024-01-05 20:14:41.660052,0.33,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.660052,0.03,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.660052,0.67,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.660052,0.59,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.669750,0.68,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.669750,0.34,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.669750,0.9,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.669750,0.12,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.678968,0.72,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.678968,0.65,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.678968,0.97,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.678968,0.09,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.688178,0.05,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.688178,0.6,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.688178,0.62,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.688178,0.9,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.697628,0.49,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.697628,0.54,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.697628,0.12,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.697628,0.57,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.707607,0.14,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.707607,0.66,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.707607,0.88,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.707607,0.36,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.718269,0.99,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.718269,0.17,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.718269,0.4,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.718269,0.5,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.728075,0.53,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.728075,0.49,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.728075,0.48,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.728075,0.45,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.737600,0.33,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.737600,0.71,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.737600,0.02,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.737600,0.82,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.747496,0.52,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.747496,0.49,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.747496,0.57,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.747496,0.03,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.756998,0.82,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.756998,0.63,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.756998,0.71,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.756998,0.87,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.766275,0.17,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.766275,0.83,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.766275,1.0,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.766275,0.23,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.775461,0.8,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.775461,0.0,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.775461,0.38,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.775461,0.56,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.784766,0.77,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.784766,0.43,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.784766,0.93,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.784766,0.34,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.793964,0.36,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.793964,0.36,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.793964,0.98,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.793964,0.1,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.803144,0.27,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.803144,0.08,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.803144,0.29,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.803144,0.4,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.812217,0.45,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.812217,0.3,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.812217,0.41,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.812217,0.6,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.821784,0.94,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.821784,0.25,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.821784,0.75,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.821784,0.56,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.831000,0.91,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.831000,0.46,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.831000,0.22,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.831000,0.61,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.840487,0.66,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.840487,0.89,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.840487,0.24,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.840487,0.2,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.850171,0.03,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.850171,0.26,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.850171,0.86,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.850171,0.95,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.859831,0.27,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.859831,0.57,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.859831,0.72,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.859831,0.74,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.869995,0.83,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.869995,0.82,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.869995,0.14,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.869995,0.3,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.882210,0.72,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.882210,0.01,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.882210,0.11,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.882210,0.32,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.898774,0.01,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.898774,0.14,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.898774,0.67,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.898774,0.78,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.914454,0.95,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.914454,0.49,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.914454,0.11,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.914454,0.7,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.925038,0.39,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.925038,0.23,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.925038,0.97,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.925038,0.82,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.936688,0.95,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.936688,0.05,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.936688,0.89,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.936688,0.2,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.950878,0.03,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.950878,0.31,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.950878,0.86,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.950878,0.26,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.964608,0.35,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.964608,0.11,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.964608,0.47,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.964608,0.1,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.977479,0.69,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.977479,0.12,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.977479,0.17,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.977479,0.5,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:41.990401,0.48,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:41.990401,0.95,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:41.990401,0.17,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:41.990401,0.2,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.000536,0.81,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.000536,0.2,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.000536,0.35,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.000536,0.21,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.010141,0.4,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.010141,0.67,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.010141,0.06,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.010141,0.11,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.021002,0.96,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.021002,0.91,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.021002,0.61,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.021002,0.66,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.031328,0.02,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.031328,0.86,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.031328,0.46,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.031328,0.88,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.044312,0.9,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.044312,0.35,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.044312,0.41,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.044312,0.69,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.057957,0.3,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.057957,0.58,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.057957,0.35,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.057957,0.38,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.068207,0.98,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.068207,0.1,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.068207,0.09,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.068207,0.19,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.078164,0.76,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.078164,0.5,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.078164,0.55,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.078164,0.76,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.087524,0.88,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.087524,0.68,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.087524,0.42,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.087524,0.06,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.096994,0.12,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.096994,0.04,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.096994,0.47,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.096994,0.2,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.107533,0.23,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.107533,0.35,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.107533,0.92,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.107533,0.18,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.116574,0.04,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.116574,0.09,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.116574,0.01,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.116574,0.85,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.126594,0.21,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.126594,0.53,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.126594,0.94,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.126594,0.93,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.136112,0.51,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.136112,0.4,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.136112,0.44,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.136112,0.18,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.146680,0.42,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.146680,0.68,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.146680,0.97,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.146680,0.37,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.156890,0.15,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.156890,0.28,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.156890,0.67,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.156890,0.14,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.165588,0.31,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.165588,0.11,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.165588,0.68,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.165588,0.7,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.174507,0.36,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.174507,0.8,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.174507,0.28,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.174507,0.34,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.183288,0.73,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.183288,0.79,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.183288,0.83,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.183288,0.67,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.192196,0.48,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.192196,0.98,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.192196,0.11,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.192196,0.49,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.201053,0.23,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.201053,0.52,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.201053,0.59,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.201053,0.98,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.209783,0.17,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.209783,0.08,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.209783,0.19,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.209783,0.99,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.218805,0.14,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.218805,0.74,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.218805,0.75,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.218805,0.4,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.227602,0.59,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.227602,0.17,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.227602,0.22,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.227602,0.35,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.236850,0.36,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.236850,0.47,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.236850,0.46,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.236850,0.06,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.245917,0.25,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.245917,0.19,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.245917,0.94,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.245917,0.04,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.255024,0.62,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.255024,0.28,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.255024,0.84,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.255024,0.57,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.264251,0.26,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.264251,0.59,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.264251,0.46,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.264251,0.27,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.273048,0.01,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.273048,0.04,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.273048,0.08,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.273048,0.67,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.282617,0.95,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.282617,0.82,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.282617,0.09,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.282617,0.34,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.297160,0.47,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.297160,0.28,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.297160,0.89,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.297160,0.25,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.306723,0.62,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.306723,0.15,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.306723,0.42,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.306723,0.53,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.316449,0.66,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.316449,0.91,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.316449,0.18,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.316449,0.51,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.325480,0.04,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.325480,0.54,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.325480,0.78,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.325480,0.3,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.334997,0.91,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.334997,0.61,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.334997,0.07,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.334997,0.95,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.345673,0.94,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.345673,0.82,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.345673,0.94,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.345673,0.19,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.354985,0.87,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.354985,0.51,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.354985,0.49,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.354985,0.12,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.364723,0.63,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.364723,0.05,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.364723,0.35,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.364723,0.12,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.374155,0.16,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.374155,0.17,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.374155,0.92,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.374155,0.72,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.384765,0.08,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.384765,0.85,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.384765,0.87,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.384765,0.25,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.395300,0.83,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.395300,0.71,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.395300,0.07,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.395300,0.49,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.404720,0.19,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.404720,0.0,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.404720,0.3,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.404720,0.26,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.414963,0.71,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.414963,0.34,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.414963,0.4,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.414963,0.53,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.424609,0.8,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.424609,0.9,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.424609,0.23,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.424609,0.95,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.436371,0.79,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.436371,0.63,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.436371,0.31,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.436371,0.29,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.446065,0.51,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.446065,0.65,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.446065,0.89,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.446065,0.92,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.455985,0.76,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.455985,0.95,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.455985,0.38,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.455985,0.88,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.466241,0.3,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.466241,0.17,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.466241,0.82,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.466241,0.2,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.476408,0.63,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.476408,0.93,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.476408,0.43,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.476408,0.49,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.486710,0.09,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.486710,0.38,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.486710,0.5,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.486710,0.04,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.496801,0.62,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.496801,0.18,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.496801,0.56,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.496801,0.48,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.506901,0.58,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.506901,0.66,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.506901,0.08,1,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.506901,0.17,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.516449,0.23,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.516449,0.14,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.516449,0.77,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.516449,0.58,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.526067,0.76,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.526067,0.02,1,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.526067,0.75,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.526067,0.87,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.539029,0.85,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.539029,0.78,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.539029,0.77,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.539029,0.19,1,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.549680,0.35,0,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.549680,0.84,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.549680,0.98,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.549680,0.78,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.559263,0.06,1,4,20,1,2024,evening
sensor2,2024-01-05 20:14:42.559263,0.61,0,4,20,1,2024,evening
sensor3,2024-01-05 20:14:42.559263,0.66,0,4,20,1,2024,evening
sensor4,2024-01-05 20:14:42.559263,0.58,0,4,20,1,2024,evening
sensor1,2024-01-05 20:14:42.569768,0.99,0,4,20,1,2024,evening
